Word/Token,Frequency Count,LEXI System Classification,Target Suggestion
search,1492,Team Standard Term,N/A (Valid Domain Keyword)
react,1491,Team Standard Term,N/A (Valid Domain Keyword)
pass,1489,Team Standard Term,N/A (Valid Domain Keyword)
index,1484,Team Standard Term,N/A (Valid Domain Keyword)
give,1481,Team Standard Term,N/A (Valid Domain Keyword)
currently,1460,Team Standard Term,N/A (Valid Domain Keyword)
much,1451,Team Standard Term,N/A (Valid Domain Keyword)
insert,1450,Team Standard Term,N/A (Valid Domain Keyword)
library,1449,Team Standard Term,N/A (Valid Domain Keyword)
looking,1433,Team Standard Term,N/A (Valid Domain Keyword)
since,1430,Team Standard Term,N/A (Valid Domain Keyword)
system,1423,Team Standard Term,N/A (Valid Domain Keyword)
seem,1422,Team Standard Term,N/A (Valid Domain Keyword)
install,1417,Team Standard Term,N/A (Valid Domain Keyword)
console,1411,Team Standard Term,N/A (Valid Domain Keyword)
send,1403,Team Standard Term,N/A (Valid Domain Keyword)
well,1399,Team Standard Term,N/A (Valid Domain Keyword)
information,1397,Team Standard Term,N/A (Valid Domain Keyword)
echo,1395,Team Standard Term,N/A (Valid Domain Keyword)
double,1387,Team Standard Term,N/A (Valid Domain Keyword)
item,1387,Team Standard Term,N/A (Valid Domain Keyword)
password,1368,Team Standard Term,N/A (Valid Domain Keyword)
content,1364,Team Standard Term,N/A (Valid Domain Keyword)
post,1356,Team Standard Term,N/A (Valid Domain Keyword)
response,1342,Team Standard Term,N/A (Valid Domain Keyword)
figure,1330,Team Standard Term,N/A (Valid Domain Keyword)
visual,1317,Team Standard Term,N/A (Valid Domain Keyword)
source,1315,Team Standard Term,N/A (Valid Domain Keyword)
point,1313,Team Standard Term,N/A (Valid Domain Keyword)
syntax,1311,Team Standard Term,N/A (Valid Domain Keyword)
always,1309,Team Standard Term,N/A (Valid Domain Keyword)
word,1308,Team Standard Term,N/A (Valid Domain Keyword)
done,1306,Team Standard Term,N/A (Valid Domain Keyword)
must,1301,Team Standard Term,N/A (Valid Domain Keyword)
field,1298,Team Standard Term,N/A (Valid Domain Keyword)
long,1295,Team Standard Term,N/A (Valid Domain Keyword)
node,1293,Team Standard Term,N/A (Valid Domain Keyword)
whats,1289,Team Standard Term,N/A (Valid Domain Keyword)
good,1283,Team Standard Term,N/A (Valid Domain Keyword)
integer,1268,Team Standard Term,N/A (Valid Domain Keyword)
solve,1267,Team Standard Term,N/A (Valid Domain Keyword)
directory,1266,Team Standard Term,N/A (Valid Domain Keyword)
back,1260,Team Standard Term,N/A (Valid Domain Keyword)
model,1260,Team Standard Term,N/A (Valid Domain Keyword)
color,1258,Team Standard Term,N/A (Valid Domain Keyword)
within,1251,Team Standard Term,N/A (Valid Domain Keyword)
look,1251,Team Standard Term,N/A (Valid Domain Keyword)
option,1250,Team Standard Term,N/A (Valid Domain Keyword)
path,1233,Team Standard Term,N/A (Valid Domain Keyword)
take,1231,Team Standard Term,N/A (Valid Domain Keyword)
missing,1230,Team Standard Term,N/A (Valid Domain Keyword)
activity,1229,Team Standard Term,N/A (Valid Domain Keyword)
custom,1228,Team Standard Term,N/A (Valid Domain Keyword)
module,1226,Team Standard Term,N/A (Valid Domain Keyword)
screen,1213,Team Standard Term,N/A (Valid Domain Keyword)
tell,1207,Team Standard Term,N/A (Valid Domain Keyword)
swift,1204,Team Standard Term,N/A (Valid Domain Keyword)
load,1200,Team Standard Term,N/A (Valid Domain Keyword)
instance,1198,Team Standard Term,N/A (Valid Domain Keyword)
property,1184,Team Standard Term,N/A (Valid Domain Keyword)
docker,1184,Team Standard Term,N/A (Valid Domain Keyword)
added,1177,Team Standard Term,N/A (Valid Domain Keyword)
position,1174,Team Standard Term,N/A (Valid Domain Keyword)
process,1171,Team Standard Term,N/A (Valid Domain Keyword)
core,1163,Team Standard Term,N/A (Valid Domain Keyword)
delete,1160,Team Standard Term,N/A (Valid Domain Keyword)
event,1154,Team Standard Term,N/A (Valid Domain Keyword)
keep,1128,Team Standard Term,N/A (Valid Domain Keyword)
mean,1127,Team Standard Term,N/A (Valid Domain Keyword)
nothing,1126,Team Standard Term,N/A (Valid Domain Keyword)
random,1119,Team Standard Term,N/A (Valid Domain Keyword)
similar,1115,Team Standard Term,N/A (Valid Domain Keyword)
better,1115,Team Standard Term,N/A (Valid Domain Keyword)
length,1098,Team Standard Term,N/A (Valid Domain Keyword)
explain,1095,Team Standard Term,N/A (Valid Domain Keyword)
documentation,1093,Team Standard Term,N/A (Valid Domain Keyword)
login,1092,Team Standard Term,N/A (Valid Domain Keyword)
implement,1087,Team Standard Term,N/A (Valid Domain Keyword)
reference,1085,Team Standard Term,N/A (Valid Domain Keyword)
client,1085,Team Standard Term,N/A (Valid Domain Keyword)
save,1082,Team Standard Term,N/A (Valid Domain Keyword)
context,1082,Team Standard Term,N/A (Valid Domain Keyword)
state,1081,Team Standard Term,N/A (Valid Domain Keyword)
going,1078,Team Standard Term,N/A (Valid Domain Keyword)
times,1074,Team Standard Term,N/A (Valid Domain Keyword)
didnt,1054,Team Standard Term,N/A (Valid Domain Keyword)
replace,1047,Team Standard Term,N/A (Valid Domain Keyword)
left,1034,Team Standard Term,N/A (Valid Domain Keyword)
address,1025,Team Standard Term,N/A (Valid Domain Keyword)
made,1025,Team Standard Term,N/A (Valid Domain Keyword)
memory,1025,Team Standard Term,N/A (Valid Domain Keyword)
parameter,1018,Team Standard Term,N/A (Valid Domain Keyword)
break,1013,Team Standard Term,N/A (Valid Domain Keyword)
background,1012,Team Standard Term,N/A (Valid Domain Keyword)
character,1007,Team Standard Term,N/A (Valid Domain Keyword)
empty,992,Team Standard Term,N/A (Valid Domain Keyword)
container,981,Team Standard Term,N/A (Valid Domain Keyword)
sort,980,Team Standard Term,N/A (Valid Domain Keyword)
defined,970,Team Standard Term,N/A (Valid Domain Keyword)
making,969,Team Standard Term,N/A (Valid Domain Keyword)
achieve,968,Team Standard Term,N/A (Valid Domain Keyword)
browser,962,Team Standard Term,N/A (Valid Domain Keyword)
title,955,Team Standard Term,N/A (Valid Domain Keyword)
task,954,Team Standard Term,N/A (Valid Domain Keyword)
reason,944,Team Standard Term,N/A (Valid Domain Keyword)
width,942,Team Standard Term,N/A (Valid Domain Keyword)
group,929,Team Standard Term,N/A (Valid Domain Keyword)
copy,928,Team Standard Term,N/A (Valid Domain Keyword)
match,923,Team Standard Term,N/A (Valid Domain Keyword)
local,922,Team Standard Term,N/A (Valid Domain Keyword)
classes,919,Team Standard Term,N/A (Valid Domain Keyword)
around,915,Team Standard Term,N/A (Valid Domain Keyword)
either,908,Team Standard Term,N/A (Valid Domain Keyword)
site,907,Team Standard Term,N/A (Valid Domain Keyword)
structure,903,Team Standard Term,N/A (Valid Domain Keyword)
generate,903,Team Standard Term,N/A (Valid Domain Keyword)
actually,894,Team Standard Term,N/A (Valid Domain Keyword)
execute,888,Team Standard Term,N/A (Valid Domain Keyword)
location,883,Team Standard Term,N/A (Valid Domain Keyword)
window,877,Team Standard Term,N/A (Valid Domain Keyword)
connection,872,Team Standard Term,N/A (Valid Domain Keyword)
compile,858,Team Standard Term,N/A (Valid Domain Keyword)
showing,855,Team Standard Term,N/A (Valid Domain Keyword)
unable,853,Team Standard Term,N/A (Valid Domain Keyword)
device,850,Team Standard Term,N/A (Valid Domain Keyword)
header,847,Team Standard Term,N/A (Valid Domain Keyword)
status,847,Team Standard Term,N/A (Valid Domain Keyword)
height,847,Team Standard Term,N/A (Valid Domain Keyword)
available,845,Team Standard Term,N/A (Valid Domain Keyword)
range,845,Team Standard Term,N/A (Valid Domain Keyword)
chrome,844,Team Standard Term,N/A (Valid Domain Keyword)
writing,834,Team Standard Term,N/A (Valid Domain Keyword)
expression,830,Team Standard Term,N/A (Valid Domain Keyword)
excel,829,Team Standard Term,N/A (Valid Domain Keyword)
note,826,Team Standard Term,N/A (Valid Domain Keyword)
total,825,Team Standard Term,N/A (Valid Domain Keyword)
template,824,Team Standard Term,N/A (Valid Domain Keyword)
connect,811,Team Standard Term,N/A (Valid Domain Keyword)
learning,809,Team Standard Term,N/A (Valid Domain Keyword)
cell,808,Team Standard Term,N/A (Valid Domain Keyword)
warning,803,Team Standard Term,N/A (Valid Domain Keyword)
wondering,802,Team Standard Term,N/A (Valid Domain Keyword)
correctly,798,Team Standard Term,N/A (Valid Domain Keyword)
basic,798,Team Standard Term,N/A (Valid Domain Keyword)
language,791,Team Standard Term,N/A (Valid Domain Keyword)
controller,785,Team Standard Term,N/A (Valid Domain Keyword)
pointer,784,Team Standard Term,N/A (Valid Domain Keyword)
game,778,Team Standard Term,N/A (Valid Domain Keyword)
written,776,Team Standard Term,N/A (Valid Domain Keyword)
hello,770,Team Standard Term,N/A (Valid Domain Keyword)
constructor,761,Team Standard Term,N/A (Valid Domain Keyword)
define,753,Team Standard Term,N/A (Valid Domain Keyword)
none,746,Team Standard Term,N/A (Valid Domain Keyword)
parent,746,Team Standard Term,N/A (Valid Domain Keyword)
certain,745,Team Standard Term,N/A (Valid Domain Keyword)
setting,744,Team Standard Term,N/A (Valid Domain Keyword)
thats,743,Team Standard Term,N/A (Valid Domain Keyword)
full,741,Team Standard Term,N/A (Valid Domain Keyword)
framework,740,Team Standard Term,N/A (Valid Domain Keyword)
spring,739,Team Standard Term,N/A (Valid Domain Keyword)
space,734,Team Standard Term,N/A (Valid Domain Keyword)
approach,733,Team Standard Term,N/A (Valid Domain Keyword)
exactly,730,Team Standard Term,N/A (Valid Domain Keyword)
thread,729,Team Standard Term,N/A (Valid Domain Keyword)
exist,726,Team Standard Term,N/A (Valid Domain Keyword)
condition,724,Team Standard Term,N/A (Valid Domain Keyword)
block,723,Team Standard Term,N/A (Valid Domain Keyword)
bundle,723,Team Standard Term,N/A (Valid Domain Keyword)
split,723,Team Standard Term,N/A (Valid Domain Keyword)
might,723,Team Standard Term,N/A (Valid Domain Keyword)
reading,722,Team Standard Term,N/A (Valid Domain Keyword)
move,721,Team Standard Term,N/A (Valid Domain Keyword)
stack,718,Team Standard Term,N/A (Valid Domain Keyword)
maybe,718,Team Standard Term,N/A (Valid Domain Keyword)
dictionary,718,Team Standard Term,N/A (Valid Domain Keyword)
menu,717,Team Standard Term,N/A (Valid Domain Keyword)
place,717,Team Standard Term,N/A (Valid Domain Keyword)
token,716,Team Standard Term,N/A (Valid Domain Keyword)
join,714,Team Standard Term,N/A (Valid Domain Keyword)
argument,712,Team Standard Term,N/A (Valid Domain Keyword)
support,709,Team Standard Term,N/A (Valid Domain Keyword)
side,709,Team Standard Term,N/A (Valid Domain Keyword)
properly,706,Team Standard Term,N/A (Valid Domain Keyword)
contain,700,Team Standard Term,N/A (Valid Domain Keyword)
whole,699,Team Standard Term,N/A (Valid Domain Keyword)
intent,699,Team Standard Term,N/A (Valid Domain Keyword)
selected,697,Team Standard Term,N/A (Valid Domain Keyword)
automatically,696,Team Standard Term,N/A (Valid Domain Keyword)
though,696,Team Standard Term,N/A (Valid Domain Keyword)
kind,695,Team Standard Term,N/A (Valid Domain Keyword)
invalid,694,Team Standard Term,N/A (Valid Domain Keyword)
native,692,Team Standard Term,N/A (Valid Domain Keyword)
tables,692,Team Standard Term,N/A (Valid Domain Keyword)
needs,689,Team Standard Term,N/A (Valid Domain Keyword)
provide,684,Team Standard Term,N/A (Valid Domain Keyword)
configuration,683,Team Standard Term,N/A (Valid Domain Keyword)
action,682,Team Standard Term,N/A (Valid Domain Keyword)
rest,676,Team Standard Term,N/A (Valid Domain Keyword)
undefined,675,Team Standard Term,N/A (Valid Domain Keyword)
calling,674,Team Standard Term,N/A (Valid Domain Keyword)
sample,674,Team Standard Term,N/A (Valid Domain Keyword)
pattern,673,Team Standard Term,N/A (Valid Domain Keyword)
switch,670,Team Standard Term,N/A (Valid Domain Keyword)
step,670,Team Standard Term,N/A (Valid Domain Keyword)
document,668,Team Standard Term,N/A (Valid Domain Keyword)
wont,668,Team Standard Term,N/A (Valid Domain Keyword)
close,665,Team Standard Term,N/A (Valid Domain Keyword)
basically,659,Team Standard Term,N/A (Valid Domain Keyword)
scanner,659,Team Standard Term,N/A (Valid Domain Keyword)
machine,657,Team Standard Term,N/A (Valid Domain Keyword)
product,654,Team Standard Term,N/A (Valid Domain Keyword)
layout,653,Team Standard Term,N/A (Valid Domain Keyword)
thought,651,Team Standard Term,N/A (Valid Domain Keyword)
extract,644,Team Standard Term,N/A (Valid Domain Keyword)
simply,641,Team Standard Term,N/A (Valid Domain Keyword)
whether,640,Team Standard Term,N/A (Valid Domain Keyword)
environment,639,Team Standard Term,N/A (Valid Domain Keyword)
parse,638,Team Standard Term,N/A (Valid Domain Keyword)
calculate,635,Team Standard Term,N/A (Valid Domain Keyword)
valid,634,Team Standard Term,N/A (Valid Domain Keyword)
handle,633,Team Standard Term,N/A (Valid Domain Keyword)
setup,632,Team Standard Term,N/A (Valid Domain Keyword)
amount,631,Team Standard Term,N/A (Valid Domain Keyword)
account,631,Team Standard Term,N/A (Valid Domain Keyword)
filter,631,Team Standard Term,N/A (Valid Domain Keyword)
vector,628,Team Standard Term,N/A (Valid Domain Keyword)
clear,627,Team Standard Term,N/A (Valid Domain Keyword)
several,624,Team Standard Term,N/A (Valid Domain Keyword)
checked,622,Team Standard Term,N/A (Valid Domain Keyword)
learn,618,Team Standard Term,N/A (Valid Domain Keyword)
building,618,Team Standard Term,N/A (Valid Domain Keyword)
separate,615,Team Standard Term,N/A (Valid Domain Keyword)
video,614,Team Standard Term,N/A (Valid Domain Keyword)
resolve,605,Team Standard Term,N/A (Valid Domain Keyword)
testing,605,Team Standard Term,N/A (Valid Domain Keyword)
standard,604,Team Standard Term,N/A (Valid Domain Keyword)
shown,603,Team Standard Term,N/A (Valid Domain Keyword)
child,602,Team Standard Term,N/A (Valid Domain Keyword)
compiler,601,Team Standard Term,N/A (Valid Domain Keyword)
compare,601,Team Standard Term,N/A (Valid Domain Keyword)
operator,600,Team Standard Term,N/A (Valid Domain Keyword)
stuck,600,Team Standard Term,N/A (Valid Domain Keyword)
starting,596,Team Standard Term,N/A (Valid Domain Keyword)
level,594,Team Standard Term,N/A (Valid Domain Keyword)
body,594,Team Standard Term,N/A (Valid Domain Keyword)
allow,589,Team Standard Term,N/A (Valid Domain Keyword)
little,589,Team Standard Term,N/A (Valid Domain Keyword)
phone,587,Team Standard Term,N/A (Valid Domain Keyword)
play,584,Team Standard Term,N/A (Valid Domain Keyword)
seen,584,Team Standard Term,N/A (Valid Domain Keyword)
particular,580,Team Standard Term,N/A (Valid Domain Keyword)
year,579,Team Standard Term,N/A (Valid Domain Keyword)
previous,578,Team Standard Term,N/A (Valid Domain Keyword)
giving,578,Team Standard Term,N/A (Valid Domain Keyword)
network,577,Team Standard Term,N/A (Valid Domain Keyword)
root,575,Team Standard Term,N/A (Valid Domain Keyword)
attribute,572,Team Standard Term,N/A (Valid Domain Keyword)
implementation,570,Team Standard Term,N/A (Valid Domain Keyword)
come,567,Team Standard Term,N/A (Valid Domain Keyword)
theres,564,Team Standard Term,N/A (Valid Domain Keyword)
flutter,563,Team Standard Term,N/A (Valid Domain Keyword)
fragment,562,Team Standard Term,N/A (Valid Domain Keyword)
section,559,Team Standard Term,N/A (Valid Domain Keyword)
global,557,Team Standard Term,N/A (Valid Domain Keyword)
directly,556,Team Standard Term,N/A (Valid Domain Keyword)
small,554,Team Standard Term,N/A (Valid Domain Keyword)
base,553,Team Standard Term,N/A (Valid Domain Keyword)
buttons,551,Team Standard Term,N/A (Valid Domain Keyword)
related,550,Team Standard Term,N/A (Valid Domain Keyword)
successfully,548,Team Standard Term,N/A (Valid Domain Keyword)
manually,548,Team Standard Term,N/A (Valid Domain Keyword)
mobile,548,Team Standard Term,N/A (Valid Domain Keyword)
according,544,Team Standard Term,N/A (Valid Domain Keyword)
days,544,Team Standard Term,N/A (Valid Domain Keyword)
comes,543,Team Standard Term,N/A (Valid Domain Keyword)
dynamic,541,Team Standard Term,N/A (Valid Domain Keyword)
worked,541,Team Standard Term,N/A (Valid Domain Keyword)
month,539,Team Standard Term,N/A (Valid Domain Keyword)
never,538,Team Standard Term,N/A (Valid Domain Keyword)
stop,538,Team Standard Term,N/A (Valid Domain Keyword)
understanding,538,Team Standard Term,N/A (Valid Domain Keyword)
price,538,Team Standard Term,N/A (Valid Domain Keyword)
easy,538,Team Standard Term,N/A (Valid Domain Keyword)
fetch,537,Team Standard Term,N/A (Valid Domain Keyword)
present,535,Team Standard Term,N/A (Valid Domain Keyword)
matrix,533,Team Standard Term,N/A (Valid Domain Keyword)
quite,532,Team Standard Term,N/A (Valid Domain Keyword)
feature,531,Team Standard Term,N/A (Valid Domain Keyword)
tutorial,529,Team Standard Term,N/A (Valid Domain Keyword)
push,529,Team Standard Term,N/A (Valid Domain Keyword)
label,528,Team Standard Term,N/A (Valid Domain Keyword)
edit,528,Team Standard Term,N/A (Valid Domain Keyword)
pretty,526,Team Standard Term,N/A (Valid Domain Keyword)
development,524,Team Standard Term,N/A (Valid Domain Keyword)
mode,524,Team Standard Term,N/A (Valid Domain Keyword)
people,522,Team Standard Term,N/A (Valid Domain Keyword)
control,521,Team Standard Term,N/A (Valid Domain Keyword)
frame,520,Team Standard Term,N/A (Valid Domain Keyword)
apply,519,Team Standard Term,N/A (Valid Domain Keyword)
appreciate,514,Team Standard Term,N/A (Valid Domain Keyword)
equal,514,Team Standard Term,N/A (Valid Domain Keyword)
complete,511,Team Standard Term,N/A (Valid Domain Keyword)
sorry,507,Team Standard Term,N/A (Valid Domain Keyword)
bootstrap,506,Team Standard Term,N/A (Valid Domain Keyword)
appear,505,Team Standard Term,N/A (Valid Domain Keyword)
original,505,Team Standard Term,N/A (Valid Domain Keyword)
large,505,Team Standard Term,N/A (Valid Domain Keyword)
suggest,504,Team Standard Term,N/A (Valid Domain Keyword)
logic,501,Team Standard Term,N/A (Valid Domain Keyword)
confused,501,Team Standard Term,N/A (Valid Domain Keyword)
recently,498,Team Standard Term,N/A (Valid Domain Keyword)
binary,498,Team Standard Term,N/A (Valid Domain Keyword)
passing,497,Team Standard Term,N/A (Valid Domain Keyword)
trouble,497,Team Standard Term,N/A (Valid Domain Keyword)
regular,493,Team Standard Term,N/A (Valid Domain Keyword)
bottom,493,Team Standard Term,N/A (Valid Domain Keyword)
exit,493,Team Standard Term,N/A (Valid Domain Keyword)
hope,491,Team Standard Term,N/A (Valid Domain Keyword)
loaded,490,Team Standard Term,N/A (Valid Domain Keyword)
extension,490,Team Standard Term,N/A (Valid Domain Keyword)
record,487,Team Standard Term,N/A (Valid Domain Keyword)
actual,484,Team Standard Term,N/A (Valid Domain Keyword)
great,484,Team Standard Term,N/A (Valid Domain Keyword)
beginner,484,Team Standard Term,N/A (Valid Domain Keyword)
computer,484,Team Standard Term,N/A (Valid Domain Keyword)
picture,482,Team Standard Term,N/A (Valid Domain Keyword)
unique,482,Team Standard Term,N/A (Valid Domain Keyword)
disable,480,Team Standard Term,N/A (Valid Domain Keyword)
typescript,480,Team Standard Term,N/A (Valid Domain Keyword)
external,479,Team Standard Term,N/A (Valid Domain Keyword)
duplicate,478,Team Standard Term,N/A (Valid Domain Keyword)
supposed,472,Team Standard Term,N/A (Valid Domain Keyword)
returned,472,Team Standard Term,N/A (Valid Domain Keyword)
design,471,Team Standard Term,N/A (Valid Domain Keyword)
goes,470,Team Standard Term,N/A (Valid Domain Keyword)
letter,470,Team Standard Term,N/A (Valid Domain Keyword)
less,470,Team Standard Term,N/A (Valid Domain Keyword)
ruby,468,Team Standard Term,N/A (Valid Domain Keyword)
success,468,Team Standard Term,N/A (Valid Domain Keyword)
style,468,Team Standard Term,N/A (Valid Domain Keyword)
algorithm,467,Team Standard Term,N/A (Valid Domain Keyword)
performance,467,Team Standard Term,N/A (Valid Domain Keyword)
perform,467,Team Standard Term,N/A (Valid Domain Keyword)
student,465,Team Standard Term,N/A (Valid Domain Keyword)
except,464,Team Standard Term,N/A (Valid Domain Keyword)
